,general_year,general_make,general_model,general_trim,general_fuelType,general_roofType,general_mileage,general_transmission,general_dashWarningLights,general_additionalWarranty,general_transferableWarranty,general_warrantyProvider,outside_liftgateOperation,outside_rustCorrosion,outside_bodyDentsDingsHailDamage,outside_collisionDamage,outside_paintFinish,outside_WindshieldGlass,outside_wiperBlades,outside_washerSprayNozzels,outside_driverSideMirror,outside_driverSideMirrorHeater,outside_passengerSideMirror,outside_passengerSideMirrorHeater,outside_driverFrontWindowGlass,outside_driverFrontWindowGlassOperation,outside_driverRearWindowGlass,outside_driverRearWindowGlassOperation,outside_passengerFrontWindowGlass,outside_passengerFrontWindowGlassOperation,outside_passengerRearWindowGlass,outside_passengerRearWindowGlassOperation,outside_driverPowerSlidingDoors,outside_passengerPowerSlidingDoors,outside_paintScratches,outside_additionalIssuesExterior,tires_driverFrontCondition,tires_driverFrontValveStemCondition,tires_driverFrontTreadDepth,tires_driverFrontPressure,tires_driverFrontBrakePad,tires_driverFrontBreakPadMeasurement,tires_driverFrontRotorCondition,tires_driverFrontSideSwayBar,tires_driverFrontShockStrut,tires_driverFrontCV,tires_driverRearCondition,tires_driverRearValveStemCondition,tires_driverRearTreadDepth,tires_driverRearPressure,tires_driverRearBrakePad,tires_driverRearBreakPadMeasurement,tires_driverRearRotorCondition,tires_driverRearSideSwayBar,tires_driverRearShockStrut,tires_driverRearCV,tires_passengerRearCondition,tires_passengerRearValveStemCondition,tires_passengerRearTreadDepth,tires_passengerRearPressure,tires_passengerRearBrakePad,tires_passengerRearBreakPadMeasurement,tires_passengerRearRotorCondition,tires_passengerRearSideSwayBar,tires_passengerRearShockStrut,tires_passengerRearCV,tires_passengerFrontCondition,tires_passengerFrontValveStemCondition,tires_passengerFrontTreadDepth,tires_passengerFrontBrakePad,tires_passengerFrontBreakPadMeasurement,tires_passengerFrontRotorCondition,tires_passengerFrontSideSwayBar,tires_passengerFrontShockStrut,tires_passengerFrontCV,tires_passengerFrontPressure,tires_aftermarketWheelsTires,tires_oemAvailable,tires_driverFrontTireCondition,tires_driverRearTireCondition,tires_passengerRearTireCondition,tires_passengerFrontTireCondition,tires_oemFactoryWheelsAvailable,tires_extraSetOfWheelsTiresAvailable,tires_secondSetOfTirePartOfDeal,tires_additionalIssuesTires,under_vehicle_frontDifferential,under_vehicle_frontDriveShaft,under_vehicle_transferCase,under_vehicle_rearDriveShaft,under_vehicle_rearDifferential,under_vehicle_mufflerExhaustTips,under_vehicle_additionalIssuesUnderVehicle,under_the_hood_batteryStrength,under_the_hood_engineOilLevel,under_the_hood_engineOilCondition,under_the_hood_powerSteeringFluid,under_the_hood_starter,under_the_hood_driveBelts,under_the_hood_radiatorHosesClamps,under_the_hood_coolantOverflowTank,under_the_hood_brakeFluid,under_the_hood_brakeMasterCylinder,under_the_hood_coolantStrength,under_the_hood_coolantStrengthMeasurement,under_the_hood_transmissionFluid,under_the_hood_waterPumpNoiseLeaks,under_the_hood_alternator,under_the_hood_fuelSystemOperation,under_the_hood_coolingFanOperation,under_the_hood_acCompressorOperation,under_the_hood_acSystemLeaks,under_the_hood_batteryRating,under_the_hood_batteryActualMeasurement,under_the_hood_visibleOilLeaks,under_the_hood_additionalIssuesUnderHood,lighting_interiorLights,lighting_headlightsLowBeam,lighting_headlightsHighBeam,lighting_frontDRL,lighting_frontSignalLights,lighting_sideMarkerLights,lighting_fogLights,lighting_reverseLights,lighting_rearSignalLights,lighting_emergency4WayFlashers,lighting_brakeLights,lighting_tailLights,lighting_licensePlateLight,lighting_additionalIssuesLighting,interior_navigationOperation,interior_audioSystem,interior_audioSteeringWheelControls,interior_cigaretteLighterPowerOutlets,interior_rearCamera,interior_carpetFloorMats,interior_odors,interior_rearWindowDefrostOperation,interior_seats,interior_seatBelts,interior_powerSeatOperation,interior_driverFrontSeatHeater,interior_driverRearSeatHeater,interior_passengerRearSeatHeater,interior_passengerFrontSeatHeater,interior_headrests,interior_dashboard,interior_rearViewMirror,interior_headliner,interior_sunroofOperation,interior_waterLeaks,interior_sunVisors,interior_driverFrontDoorTrim,interior_driverRearDoorTrim,interior_passengerFrontDoorTrim,interior_passengerRearDoorTrim,interior_gloveBoxCenterConsole,interior_steeringWheelSteeringColumn,interior_horn,interior_doorHandles,interior_hoodRelease,interior_trunkRelease,interior_fuelDoorRelease,interior_spareTire,interior_spareTireTools,interior_keyFobCondition,interior_numberOfKeysFobs,interior_numberOfWorkingKeysFobs,interior_acOperationBlowsCold,interior_gloveBox,interior_centerConsole,interior_steeringWheel,interior_carSmokedIn,interior_conditionOfSeats,interior_numberOfKeysFobsDeclared,interior_navigationEquipped,interior_rearCameraEquipped,interior_sunroofEquipped,interior_seatsMaterial,interior_additionalIssuesInterior,interior_evChargingKit,test_drive_engineRPMIdle,test_drive_engine3000RPM,test_drive_vibrationWhileDriving,test_drive_vibrationWhileBraking,test_drive_steeringWheelStraight,test_drive_alignmentCheck,test_drive_cruiseControl,test_drive_parkingBreak,test_drive_automaticManualTransmissionShift,test_drive_clutchOperationEngagement,test_drive_abnormalWindNoise,test_drive_alignment,test_drive_brakingSystem,test_drive_cabinHeatBlowsHot,test_drive_testDriveCompleted,test_drive_acOperationBlowsCold,test_drive_testDriveStatus,test_drive_additionalIssuesTestDrive,bid_start,created_at,vehicle_lead_source,seller_type,valuation_autozen_low,valuation_autozen_high,valuation_cbb_trade_in_low,valuation_cbb_trade_in_high,valuation_highest_bid_amount,valuation_seller_asking_price,valuation_starting_price,car_age,month_of_year,Predicted_75_lower_bound,Predicted_75_upper_bound,Predicted_price
473,2017,Audi,A4,Progressiv 4D Sedan Qtro at,gasoline,hardTop,31589.0,automatic,,,,,ok,ok,serviceSuggested,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,notAvailable,serviceSuggested,,ok,ok,8.0,39.0,ok,8.0,ok,ok,ok,ok,ok,ok,6.0,45.0,serviceSuggested,4.0,ok,ok,ok,ok,ok,ok,6.0,45.0,serviceSuggested,4.0,ok,ok,ok,ok,ok,ok,8.0,ok,8.0,ok,ok,ok,ok,39.0,no,yes,,,,,,,,,notAvailable,notAvailable,notAvailable,ok,ok,ok,,,,,,,,,,,,,-42.0,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,ok,ok,ok,serviceSuggested,,ok,ok,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,ok,ok,ok,2.0,2.0,ok,ok,ok,ok,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,yes,ok,,,26686.0,2021-05-12 17:48:06,MQL,consumer,26686.0,29055.0,24709.0,26903.0,27500.0,29500.0,26686.0,6,5,27417.05803396766,27950.430764999608,27488.549
452,2018,Subaru,Outback,2.5i Limited 4D Wagon at,gasoline,hardTop,31945.0,manual,no,unknown,unknown, ,ok,ok,serviceSuggested,ok,ok,serviceRequired,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,notAvailable,serviceSuggested,,ok,ok,8.0,32.0,ok,6.0,ok,ok,ok,ok,serviceSuggested,ok,9.0,29.0,ok,6.0,ok,ok,ok,notAvailable,ok,ok,8.0,31.0,ok,6.0,ok,ok,ok,notAvailable,ok,ok,8.0,ok,6.0,ok,ok,ok,ok,31.0,,,ok,ok,ok,ok,yes,no,,,ok,ok,ok,ok,ok,ok,,,,,,,,,,,,,-42.0,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,notAvailable,ok,ok,ok,ok,ok,No,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,serviceSuggested,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,ok,ok,ok,no,ok,2.0,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,no,ok,,,26416.0,2021-08-05 17:54:21,MQL,consumer,26416.0,29114.0,24762.0,26957.0,28100.0,0.0,26416.0,5,8,28032.36254229778,28552.09161873409,28109.89
534,2018,Nissan,Leaf,SL 5D Hatchback,electric,hardTop,84983.0,automatic,no,yes,yes,,ok,ok,serviceRequired,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceRequired,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,notAvailable,,notAvailable,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,,ok,,ok,notAvailable,notAvailable,notAvailable,notAvailable,notAvailable,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,,ok,ok,no,ok,2.0,yes,yes,no,cloth,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,,ok,ok,ok,25526.0,2021-12-17 20:01:09,DDC,consumer,24783.0,27075.0,24061.0,26286.0,25526.0,0.0,25526.0,5,12,25542.82238402789,26517.224284573524,25468.486
558,2015,Jeep,Grand Cherokee,Overland 4D Utility 4WD,gasoline,hardTop,111757.0,automatic,no,no,no,,ok,ok,serviceSuggested,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceRequired,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,notAvailable,,notAvailable,,notAvailable,notAvailable,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,notAvailable,ok,ok,,ok,ok,,ok,,ok,notAvailable,notAvailable,notAvailable,notAvailable,notAvailable,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,,ok,ok,no,ok,2.0,no,yes,no,cloth,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,yes,ok,,,24587.0,2021-12-09 18:19:10,MQL,consumer,24587.0,26834.0,22766.0,24846.0,24587.0,,24587.0,8,12,24589.611636474314,24779.576333825546,24570.357
287,2018,Ford,Mustang,GT 2D Coupe,gasoline,hardTop,18269.0,manual,yes,no,no,,ok,serviceSuggested,ok,ok,serviceSuggested,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,ok,ok,ok,ok,ok,,7.0,35.0,ok,6.0,ok,ok,ok,ok,ok,,6.0,35.0,ok,6.0,ok,ok,ok,ok,serviceSuggested,,3.0,32.0,ok,6.0,ok,ok,ok,ok,ok,,6.0,ok,6.0,ok,ok,ok,ok,36.0,,,ok,ok,serviceRequired,ok,yes,no,no,,notAvailable,,notAvailable,,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,No,ok,,ok,ok,ok,notAvailable,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,2.0,,,ok,ok,no,ok,2.0,yes,yes,yes,leather,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,ok,34813.0,2022-03-08 00:01:08,MQL,consumer,33799.0,36802.0,32815.0,35730.0,35129.0,,34813.0,5,3,35142.315645447976,35202.05457010972,35107.457
722,2017,Kia,Sportage,LX 4D Utility FWD at,gasoline,hardTop,29420.0,automatic,no,no,no,,ok,ok,ok,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceSuggested,ok,ok,,12.0,32.0,ok,7.0,ok,ok,ok,ok,serviceSuggested,,12.0,32.0,ok,7.0,ok,ok,ok,ok,serviceSuggested,,11.0,32.0,ok,7.0,ok,ok,ok,ok,serviceSuggested,,11.0,ok,7.0,ok,ok,ok,ok,32.0,,,ok,ok,ok,ok,yes,no,no,ok,notAvailable,,notAvailable,,notAvailable,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,no,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,serviceSuggested,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,2.0,,,ok,ok,no,ok,1.0,yes,yes,yes,cloth,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,,ok,ok,ok,18393.0,2022-03-04 17:15:21,MQL,consumer,17857.0,19442.0,17337.0,18876.0,20700.0,,18393.0,6,3,20686.408638878984,20699.829813288954,20647.156
1134,2012,Hyundai,Genesis,5.0L R-Spec 4D Sedan,gasoline,hardTop,49857.0,automatic,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,notAvailable,ok,,ok,ok,4.0,40.0,ok,8.0,ok,ok,ok,ok,ok,ok,6.0,36.0,ok,5.0,ok,ok,ok,ok,ok,ok,5.0,36.0,ok,5.0,ok,ok,ok,ok,ok,ok,4.0,ok,8.0,ok,ok,ok,ok,40.0,no,yes,,,,,,,,,notAvailable,notAvailable,notAvailable,ok,ok,ok,,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,-44.0,notAvailable,ok,ok,ok,ok,ok,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,no,ok,,,10704.0,2021-05-24 17:08:08,MQL,consumer,10704.0,11677.0,9911.0,10812.0,11000.0,0.0,10704.0,11,5,11235.24146559281,11999.889622981624,11935.177
1230,2015,Volkswagen,Jetta,Trendline + 4D Sedan 2.0 at,gasoline,hardTop,93500.0,automatic,no,no,no,,ok,ok,ok,ok,serviceSuggested,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceSuggested,ok,ok,,3.0,33.0,ok,7.0,ok,ok,ok,notAvailable,ok,,3.0,33.0,ok,6.0,ok,ok,ok,notAvailable,ok,,3.0,32.0,ok,6.0,ok,ok,ok,notAvailable,ok,,3.0,ok,7.0,ok,ok,ok,notAvailable,33.0,,,serviceRequired,serviceRequired,serviceRequired,serviceRequired,yes,no,no,ok,notAvailable,,notAvailable,,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,no,ok,,ok,serviceSuggested,ok,notAvailable,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,2.0,,,ok,ok,no,ok,2.0,yes,yes,yes,leather,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,,ok,ok,ok,9000.0,2022-02-25 17:05:05,DDC,consumer,8724.0,9569.0,8470.0,9290.0,9350.0,17000.0,9000.0,8,2,9152.407485264479,9705.885664122583,9307.088
365,2019,Honda,Accord,Sport 4D Sedan at,gasoline,hardTop,17883.0,automatic,yes,no,unknown,,ok,ok,ok,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,ok,ok,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,notAvailable,,notAvailable,,ok,ok,,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,,ok,ok,no,ok,2.0,yes,yes,no,leather,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,,ok,ok,ok,31100.0,2022-01-28 20:02:07,MQL,consumer,29557.0,32177.0,28696.0,31240.0,32200.0,0.0,31500.0,4,1,32227.660607278787,32137.965664134015,32184.357
143,2017,Toyota,4Runner,SR5 4D Utility,gasoline,hardTop,51202.0,automatic,no,no,no,,ok,ok,ok,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,ok,ok,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,notAvailable,,notAvailable,,notAvailable,notAvailable,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,notAvailable,ok,no,ok,,ok,notAvailable,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,notAvailable,notAvailable,ok,,2.0,,,ok,ok,no,ok,2.0,yes,no,yes,leather,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,,ok,ok,,44600.0,2022-03-12 20:09:07,DDC,consumer,41455.0,45141.0,40248.0,43826.0,44700.0,,42699.0,6,3,44668.295782466135,46030.37979766593,44828.832
1279,2014,Hyundai,Elantra,GLS 4D Sedan at,gasoline,hardTop,138463.0,automatic,no,no,no,,notAvailable,ok,ok,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,ok,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,ok,,ok,,ok,ok,,serviceRequired,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,ok,,ok,ok,,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,no,no,ok,,1.0,,,ok,ok,no,serviceSuggested,2.0,yes,yes,yes,leather,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,yes,ok,,,6341.0,2021-11-04 15:03:30,MQL,consumer,6341.0,7231.0,5871.0,6695.0,6950.0,,6341.0,9,11,6914.228190537169,7447.1433216464775,6862.1646
983,2013,Audi,A5,Premium S Line 2D Coupe Qtro at,gasoline,hardTop,107197.0,automatic,no,no,no,,ok,ok,serviceRequired,ok,serviceRequired,serviceRequired,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceRequired,ok,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,ok,,ok,,ok,notAvailable,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,no,no,ok,,1.0,,,ok,ok,no,ok,2.0,yes,yes,yes,leather,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,ok,19500.0,2022-03-03 21:03:07,DDC,consumer,14576.0,15985.0,14151.0,15519.0,15013.0,0.0,19500.0,10,3,15011.0317308543,16855.996858535058,15064.409
24,2022,BMW,3 Series,M340i xDrive 4D Sedan AWD,gasoline,hardTop,8024.0,automatic,no,yes,yes,,ok,ok,ok,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,ok,serviceSuggested,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,notAvailable,,notAvailable,,notAvailable,ok,ok,notAvailable,notAvailable,notAvailable,notAvailable,ok,notAvailable,ok,ok,ok,,,,,,ok,,ok,,,,,notAvailable,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,2.0,,,ok,ok,no,ok,2.0,yes,yes,no,cloth,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,,ok,ok,ok,63154.0,2022-02-20 19:53:34,MQL,consumer,61315.0,66764.0,59529.0,64819.0,68379.0,73000.0,63154.0,1,2,56045.2095898815,70926.75087422166,68317.016
492,2020,Honda,Fit,EX 5D Hatchback at,gasoline,hardTop,9317.0,automatic,no,yes,yes,securedrive,ok,ok,serviceRequired,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,ok,ok,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,ok,,ok,,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,,ok,,ok,ok,ok,ok,ok,serviceSuggested,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,,ok,ok,no,serviceSuggested,2.0,yes,yes,yes,leather,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,,ok,ok,ok,25428.0,2022-03-12 19:41:15,MQL,consumer,24687.0,26873.0,23968.0,26090.0,27000.0,,25428.0,3,3,26996.33072303114,27233.05659871926,26972.613
1091,2012,Mercedes-Benz,GLK-Class,GLK350 4D Sport Util 4MATIC,gasoline,hardTop,120451.0,automatic,no,unknown,unknown,,ok,ok,serviceSuggested,ok,ok,ok,,,serviceSuggested,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceSuggested,,ok,,7.0,32.0,ok,7.0,serviceSuggested,notAvailable,ok,notAvailable,serviceSuggested,,8.0,32.0,ok,7.0,serviceSuggested,notAvailable,ok,notAvailable,serviceSuggested,,8.0,32.0,ok,7.0,serviceSuggested,notAvailable,ok,notAvailable,ok,,8.0,ok,7.0,ok,notAvailable,ok,notAvailable,32.0,,,ok,ok,ok,ok,yes,no,no,,notAvailable,,notAvailable,,notAvailable,ok,,notAvailable,ok,serviceRequired,notAvailable,ok,ok,ok,serviceSuggested,ok,,,,,,ok,,ok,,,,,,,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,ok,ok,ok,,ok,ok,No,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,no,no,ok,,1.0,,,ok,ok,no,ok,2.0,yes,yes,yes,leather,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,yes,ok,,,12819.0,2021-10-20 19:45:08,MQL,consumer,14000.0,14012.0,11777.0,12974.0,12950.0,0.0,14000.0,11,10,12930.341200313538,13071.274416241346,12923.221
859,2015,Infiniti,Q50,Sport Premium 4D Sedan AWD,gasoline,hardTop,88939.0,automatic,yes,no,unknown,,ok,ok,serviceSuggested,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,ok,,ok,,9.0,29.0,ok,7.0,ok,ok,ok,ok,ok,,9.0,32.0,ok,9.0,ok,ok,ok,ok,ok,,9.0,32.0,ok,9.0,ok,ok,ok,ok,ok,,10.0,ok,7.0,ok,ok,ok,ok,31.0,,,ok,ok,ok,ok,yes,no,no,,ok,,ok,,ok,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,ok,ok,ok,,ok,ok,,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,notAvailable,yes,ok,,2.0,,,ok,ok,no,ok,2.0,yes,yes,yes,leather,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,yes,ok,,,15000.0,2021-11-17 20:03:10,MQL,consumer,15000.0,26490.0,22482.0,24528.0,18000.0,0.0,15000.0,8,11,17983.3951804667,18792.853096452614,17990.615
131,2018,Chevrolet,Colorado,ZR2 Crew Cab 4WD,gasoline,hardTop,30538.0,automatic,yes,no,no,,notAvailable,ok,ok,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceSuggested,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,notAvailable,,notAvailable,,ok,ok,,notAvailable,notAvailable,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,-42.0,notAvailable,ok,ok,ok,ok,ok,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,notAvailable,ok,ok,,ok,ok,No,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,ok,ok,ok,no,ok,1.0,no,yes,yes,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,yes,ok,,,41894.0,2021-09-20 17:07:11,MQL,consumer,41894.0,45617.0,38791.0,42238.0,46000.0,,41894.0,5,9,45953.843283142436,46123.41858841834,45944.418
