,id,vehicle_vin,vehicle_mileage,vehicle_lead_source,seller_type,num_auctions,valuation_autozen_low,valuation_autozen_high,valuation_cbb_trade_in_low,valuation_cbb_trade_in_high,valuation_cbb_base_retail_avg,valuation_highest_bid_amount,valuation_seller_asking_price,valuation_starting_price
12,1oGKYt66MCZ9tjEivlhncuOCX7n,3VWDA7AJ1FM325743,138574.0,DDC,consumer,1,8360.0,11000.0,9400.0,,,,,8360.0
13,1oGL9AVj2X9vpzI2V1ZWx7DpuGn,,44272.0,DDC,consumer,1,,,13040.0,17470.0,,,,
14,1ohyKgeQp7hBidpvdX3zJNJs560,3VV4B7AX2JM194126,37352.0,DDC,consumer,12,29260.0,31000.0,18985.0,25265.0,,,,29260.0
15,1oighsFekLtUb8YfkOuR52qEcbU,KL79MRSL5MB041979,9696.0,DDC,consumer,1,,,34400.0,38935.0,,,,
16,1oiqdFRfzez455vxMgseSyGplm2,4T1G11AK0LU361870,12737.0,DDC,consumer,1,20306.0,27500.0,18330.0,23050.0,,,,20306.0
17,1oir8NL24eeM0wVHxHFeJXvSMd8,1G1PC5SBXF7162051,97637.0,DDC,consumer,1,6365.0,9500.0,2255.0,3870.0,,,,6365.0
18,1oirmrwI4R2FkoG61xwJUJ8X0w0,,62200.0,DDC,consumer,1,,,,,,,,
19,1oisAQF4EMxtpx0FhQ7TNMEXPMh,2C3CDXHG1GH257187,102078.0,DDC,consumer,1,15105.0,18500.0,11810.0,,,,,15105.0
20,1oit9u3QCGyLx7V5Ws0Vxqo14Wo,2HKRM4H58DH109544,126094.0,DDC,consumer,1,11875.0,15499.0,7220.0,10750.0,,,,11875.0
21,1oivI1PflGbf2biDYlIY3SeMm0G,JTHCE1D25F5009271,49862.0,DDC,consumer,1,20900.0,33000.0,14990.0,19990.0,,,,20900.0
22,1oiw2cX0KcnhHlDPGVvIYRNu6AS,3VW217AU2GM056204,62268.0,DDC,consumer,1,10925.0,17800.0,,,,,,10925.0
23,1oJ1psNb2GrSnzcEpOuqlHBVkZ0,1N6AD0CW8GN770661,44219.0,DDC,consumer,1,16625.0,27500.0,12800.0,17070.0,,,,16625.0
24,1oj1yLBw5qWF30IBnU8i7Ct0A32,2FMTK4K87FBB29647,97016.0,DDC,consumer,1,12825.0,18575.0,13135.0,17505.0,,,,12825.0
25,1oJ2OOZ1YYGE0h1JFQJUazAn4xd,,125000.0,DDC,consumer,1,,,7650.0,14685.0,,,,
26,1oj3cS55J2m8lNVMN8BNMzEwBKb,5N1AZ2MH9FN233758,112639.0,DDC,consumer,8,13110.0,15295.0,8880.0,12495.0,,,,13110.0
27,1oJ6OkFLVCNHQunOWUq4PTzuDfX,SALVP2BG1DH762244,63245.0,DDC,consumer,1,,,15085.0,22210.0,,,,
28,1oJEoqo0MuEXifKoCLJpiUCynix,WBA3D5C56EF147141,92234.0,DDC,consumer,1,15295.0,21500.0,10910.0,15800.0,,,,15295.0
29,1oJg8wwrJxjFAzZ6ta6Sv2JvXPl,1HGCR2F54GA808990,84098.0,DDC,consumer,1,,,11525.0,15610.0,,,,
30,1oJHtJlcGEjMlaLttxJ5Fo9hJy8,,70000.0,DDC,consumer,1,,,7220.0,11495.0,,,,
31,1ojRSK7Wlpnd5xABbnLdc8eJ1zh,WDCGG0EB3FG427882,44743.0,DDC,consumer,1,21755.0,33999.0,14570.0,21300.0,,,,21755.0
32,1oJVg8qQws5Oe5DWhm52Z09UZYy,2T2BZMCA0GC040469,103130.0,DDC,consumer,1,26743.0,32000.0,24250.0,29470.0,,,,26743.0
33,1oJx7eQkFxxsWNgM7ZNgrO3tBDf,WVWVF7AU1JW205923,50064.0,DDC,consumer,1,32300.0,35000.0,11195.0,14620.0,,,,32300.0
34,1olBVadFN7oiEhvV2JfU9O7iAEg,,13100.0,DDC,consumer,1,,,22370.0,28825.0,,,,
35,1oLj1qOdomfHZFG57dginopXTG7,5N1AT2MV2HC760658,43060.0,DDC,consumer,1,17670.0,25000.0,12945.0,17710.0,,,,17670.0
36,1oLlxeGjhNNYHXSXmLvze4JOGD6,,27000.0,DDC,consumer,1,,,14755.0,20490.0,,,,
37,1oLmQUyl9p6du7gCnVY9B0Bg3JB,3FA6P0HRXDR204910,121119.0,DDC,consumer,1,6935.0,9995.0,4700.0,6410.0,,,,6935.0
38,1oLQEyBSGXvOsonsZwNKOsBtiqo,WA1GFEFS8FR004587,82238.0,DDC,consumer,1,19475.0,25000.0,14080.0,21420.0,,,,19475.0
39,1oLSRNsU2Tq1vRBpb7otbTCILx8,1FM5K8F87DGA00324,148427.0,DDC,consumer,1,14300.0,19500.0,9685.0,,,0.0,0.0,14300.0
40,1olULmjzfyxknNnzwCnDf2briy4,2HGFC2F58JH032659,59667.0,DDC,consumer,1,,,13320.0,16529.0,,,,
41,1oM8WzKsnTZrOhPOghkMzZzznB5,5N1AT2MVXGC751835,59612.0,DDC,consumer,1,15050.0,19796.0,13560.0,17930.0,,0.0,0.0,15050.0
42,1oMDx3ruNeDO0SAUbBbPFd3Rq8e,1VWAS7A39EC068963,99507.0,DDC,consumer,1,7300.0,12900.0,5555.0,8240.0,,0.0,0.0,7300.0
43,1oMjmdfH9KcJY1Xnywbg6OGSoyK,KNDMB5C1XK6466760,55588.0,DDC,consumer,1,18810.0,23850.0,16070.0,19750.0,,,,18810.0
44,1oOkHPbyZkblQbv3RQbvH1rCE4I,5N1AL0MM9FC506793,87589.0,DDC,consumer,1,,,15930.0,21975.0,,,,
45,1oOyM4Lc7kHMEdxq70VeDrMOjjR,KNDJP3A59J7559261,25937.0,DDC,consumer,1,14013.0,16999.0,10485.0,13760.0,,,,14013.0
46,1oqr03MZ6dCnuUPAStkIEXMa6mR,5UXKR0C57J0Y06696,39390.0,DDC,consumer,1,47500.0,52000.0,35955.0,46215.0,,,,47500.0
47,1orolytO3ioDtsSjrzvFSqkIrRD,3VW217AU1FM006649,117761.0,DDC,consumer,1,9975.0,13500.0,7700.0,,,,,9975.0
48,1oRPBwiNDw40VOf02B0n8k8Nu6X,WDDSJ4GB5GN346648,28418.0,DDC,consumer,1,17870.0,26999.0,14755.0,20490.0,,,,17870.0
49,1otY4f2Cs9UnQj4cht5LWA3IRDQ,KNDPBCAC0F7688729,93388.0,DDC,consumer,1,8845.0,11999.0,8740.0,12540.0,,,,8845.0
50,1otYkGQNi4AjPwrDmbzoJ3J6bWA,1V2NR2CA3JC570777,33019.0,DDC,consumer,1,35340.0,43900.0,28760.0,35365.0,,,,35340.0
51,1ouIsjFZdeXHdBx6SfTNV9zvnaB,5XYZUDLA0GG380310,97641.0,DDC,consumer,1,17195.0,23500.0,14080.0,16990.0,,,,17195.0
52,1owYIvk5Q5two82itvunau0kR4E,3VWDA7AJ1FM325743,35000.0,DDC,consumer,1,,,20535.0,26575.0,,,,
53,1owZI7kGwD294GhxeBPxMIvpnXK,JN1CV7AR0GM251353,22191.0,DDC,consumer,1,20900.0,26000.0,14425.0,19340.0,,,,20900.0
54,1oXczUZLjGtgGEziOj4VvXCgMXr,JM3KE4CY5G0785507,63365.0,DDC,consumer,1,,,11855.0,17160.0,,,,
55,1oXdEqmMOlUWM19hEQP2dJUSvUb,2HNYD2H29DH000793,142704.0,DDC,consumer,1,13680.0,18450.0,12285.0,,,,,13680.0
56,1oz2AFL1mVx1Xt2TIq7HihvrOdP,5UXKR0C57J0Y06696,31700.0,DDC,consumer,1,,,19975.0,24585.0,,,,
57,1oZcm0sWh9gvoWwE8tVAYh6Snxa,5UXXW3C53J0T82448,42597.0,DDC,consumer,1,33590.0,35900.0,25000.0,32285.0,,,,33590.0
58,1ozecIh73lkpkxebBGyUxWnvhep,,29000.0,DDC,consumer,1,,,15180.0,19905.0,,,,
59,1ozfMPklpm3LloWsLOeqqG87P0R,2FMHK6D83DBD08411,58594.0,DDC,consumer,1,13628.0,25888.0,4750.0,9745.0,,,,13628.0
60,1oZrq2959YMXx8WFlGyBKHTUaji,5N1AT2MM1FC816433,45863.0,DDC,consumer,1,,,9115.0,13390.0,,,,
61,1p0Ga1pYHYkpXFtSMmxtrynxAOL,WAUFFCFLXGN015871,57655.0,DDC,consumer,1,18240.0,26495.0,15180.0,20350.0,,,,18240.0
62,1p0HqZuCq0KvvoEy8EHN30u4pJr,,96538.0,DDC,consumer,1,,,7125.0,10620.0,,,,
63,1p1nugt00PQnUlLZJ9AiDu5GjMH,,96538.0,DDC,consumer,1,,,7125.0,10620.0,,,,
64,1p22tUwXJrlCZvb6XWx5QOHaH6s,SALSH2E48CA751136,37329.0,DDC,consumer,1,20093.0,33900.0,12045.0,18785.0,,,,20093.0
65,1p25ESMtH1ostYLWBlYzQ9SWN9Z,2HGFC1F96KH103193,27448.0,DDC,consumer,1,21993.0,31500.0,17715.0,21540.0,,,,21993.0
66,1p27mFcUfgirCWLwMbRiQywrdEG,2T3B1RFV9KW061200,57017.0,DDC,consumer,1,26125.0,30500.0,20725.0,25820.0,,,,26125.0
67,1p29LeDK7qWZkam52YHTzpI2xTG,5N1AT2MT6FC902697,74481.0,DDC,consumer,1,10920.0,15500.0,8690.0,13060.0,,,,10920.0
68,1p2ErqYf0LP0s2X1qk9mIjPjlrI,JN1CV7AR0GM251353,137000.0,DDC,consumer,1,,,6980.0,,,,,
69,1p2hhC410RGCO0sf6YUeFRzyhmo,KMHTC6AE7EU209118,52047.0,DDC,consumer,1,5006.0,10234.0,4635.0,9476.0,,,,5006.0
70,1p2iOoCHci57IZjRdPQSHR8TqJg,1HGCR2F54FA805814,95570.0,DDC,consumer,1,13190.0,16000.0,10725.0,14785.0,,,,13190.0
71,1p2jDHagBLnAadJr7qaH3Q3RdVt,WAUFFAFL0DN034977,110165.0,DDC,consumer,1,11305.0,13000.0,4465.0,8565.0,,,,11305.0
72,1p2MLEThqvL0xRZ9oCGLp7gss6I,SALVR2BG2HH173588,68633.0,DDC,consumer,1,34295.0,45000.0,71250.0,84725.0,,0.0,45000.0,34295.0
73,1p2zh7G7Efw9G5QBOd5zPuAspLJ,5XYPG4A38JG345637,54589.0,DDC,consumer,1,16700.0,19000.0,12190.0,17170.0,,,,16700.0
74,1p5e9CQcRN0CkOre033P6mPnIOu,KM8J23A40JU632732,34400.0,DDC,consumer,1,16150.0,19000.0,10345.0,15525.0,,,,16150.0
75,1pa7EGLpUvyOLa6MnkKie03WmJX,,55555.0,DDC,consumer,1,,,16025.0,19610.0,,,,
76,1paaCvITVR1YbXbJIwrzOy9PPZj,WDDGF8JB5CA701987,101526.0,DDC,consumer,1,,,6980.0,11850.0,,,,
77,1paaR7yrWFF9Jc7oXHShGO3ZIfs,WBA3C3C54FK202573,86475.0,DDC,consumer,1,13700.0,19500.0,9260.0,14105.0,,13700.0,19500.0,13700.0
78,1pabOwQliKl97C7KnIJhUqxRBJt,3C4PDCCG7GT130688,106959.0,DDC,consumer,1,10555.0,16000.0,8220.0,,,10555.0,13000.0,10555.0
79,1paedkRRCb1RNjBhGX5lEPR555E,,555.0,DDC,consumer,1,,,22935.0,27085.0,,,,
80,1pajL6WUqmMrImfWnZ7bfhXnSh3,Dt5rgyyyyh,2222.0,DDC,consumer,1,,,22935.0,27085.0,,,,
81,1paStX0gXc4HL2QrKdeDFneTdxn,,57983.0,DDC,consumer,1,,,16070.0,22185.0,,,,
82,1paTaq3YZQrRR5CSFc0LkO23VgX,JM3KFBDYXK0615121,23529.0,DDC,consumer,1,28025.0,35900.0,21805.0,28560.0,,,,28025.0
83,1patuVg2l5dkrnOxID085rB00jb,Hhfg,2222.0,DDC,consumer,1,,,22935.0,27085.0,,,,
84,1paYt1d1FuH3KVHoSn4S3zsz5Fe,2T1BURHE2HC887796,65497.0,DDC,consumer,1,13205.0,16500.0,10110.0,13360.0,,,,13205.0
85,1paZ6SXnuN6Gj1gs4Z2f7UZPrs3,2HGFC2F73GH009770,97119.0,DDC,consumer,1,13200.0,16000.0,9965.0,12280.0,,,,13200.0
86,1pBa9k4VwsPk0A6L66zcmSqvkZk,3VW2K7AJXFM204049,46232.0,DDC,consumer,1,10450.0,12800.0,6315.0,9080.0,,,,10450.0
87,1pcbJq1g9Ym8dnagdrRa3MWbxxv,Snnaajkallal,40000.0,DDC,consumer,1,,,45965.0,52610.0,,,,
88,1pcr9K9X7JCnkSt9Zvt8gPzLIh4,,66666.0,DDC,consumer,1,,,22602.0,24952.0,,,,
89,1pcSkVZvQYmEIkvvuKBKzvwA23U,56778765445y77u8b,55555.0,DDC,consumer,1,,,22935.0,25508.0,,,,
90,1pcSwXmTnYBXUi7uHocwGdBrx2I,F good ggui,50000.0,DDC,consumer,1,,,22935.0,25785.0,,,,
91,1pcTRHOaNfPNBup7vU5kF0FuecD,235577865,66666.0,DDC,consumer,1,,,20115.0,22737.0,,,,
92,1pcuEfvmYSAhTdY7hoWRUbyuzWg,TUWYWUUEYW,7777.0,DDC,consumer,1,,,110540.0,123275.0,,,,
93,1pcVXvGhWkxsz5L1QlWtlPBioaU,,77777.0,DDC,consumer,1,,,22047.0,24397.0,,,,
94,1pczfVsIfb4tVVPtitmtlpvK73W,,108035.0,DDC,consumer,1,,,8740.0,10878.0,,,,
95,1pd6wqPTekvZAGdtViRXUbIEfiz,5272637,8888.0,DDC,consumer,1,,,20115.0,24070.0,,,,
96,1pDKvJZrfZnQp8ET9hs2a17hgBs,,12000.0,DDC,consumer,1,,,31020.0,39565.0,,,,
97,1pdYRKU4OCkYIDTFTuuI8OvjcIh,Hgcvbjj,88889.0,DDC,consumer,1,,,21491.0,23841.0,,,,
98,1pDZfcF7RTk7w5y9R48f25ZjGjf,,68000.0,DDC,consumer,1,,,19880.0,23125.0,,,,
99,1pfeoMBh9L6L3CnbiTRap9lGQpA,3VV4B7AX9JM077689,14546.0,DDC,consumer,6,26890.0,32900.0,17530.0,23780.0,,,,26890.0
100,1pfiLAyDsk7feDINRLLXa2nAG3k,Rrthhjiiyr,9999.0,DDC,consumer,1,,,22935.0,27085.0,,,,
101,1pfTiTT93Uk8iO1dX8lTNXX1JLU,Hdafghhjijh,50000.0,DDC,consumer,1,,,20115.0,23570.0,,,,
102,1pg2rYeOUTIKjrh8QDccscCislF,Jzjsjsj,78787.0,DDC,consumer,1,,,21996.0,24346.0,,,,
103,1pgC6AaLAwzwNhi45AY5z83w7LW,34578985433gh,23423.0,DDC,consumer,1,,,22935.0,27085.0,,,,
104,1pGEUrsVFB7i9j3Grj4t5k7ALU2,Sjahnajakk,63588.0,DDC,consumer,1,,,9685.0,11915.0,,,,
105,1pGmppM5lvbvUFT8d6SsfeSQ8YA,SALCT2BG7GH621685,68828.0,DDC,consumer,1,24225.0,30500.0,19505.0,26790.0,,,,24225.0
106,1pGxSZAxRi7BXwkFimj7bRnNijR,3C4PDCAB4GT250214,33869.0,DDC,consumer,1,9975.0,15200.0,6410.0,10960.0,,,,9975.0
107,1pJitptKRwgeJC1cEZHhLN0iUmh,,140000.0,DDC,consumer,1,,,6840.0,,,,,
108,1pJkWcR1YjtAxCmucMvihch1eTQ,KM8JT3AF4FU096339,138889.0,DDC,consumer,1,10450.0,12500.0,6600.0,,,,,10450.0
109,1pJlYhgILNIKDgRGfqUVOUKCxtY,2T1BURHE6FC275596,132442.0,DDC,consumer,1,12350.0,14250.0,6555.0,,,,,12350.0
110,1pJmrEhR4u6BJpmDta9Zih36es0,,30335.0,DDC,consumer,1,,,25520.0,32095.0,,,,
111,1pJmXBjTfKmU1Ojgueho2RmHn1E,2HGFC2F84JH008305,47758.0,DDC,consumer,6,17005.0,18500.0,12990.0,16510.0,,,,17005.0
112,1pJQ71YP5up5SzNhF6mEohoZ3h5,1FAHP2H82EG142357,32462.0,DDC,consumer,10,11400.0,14500.0,7745.0,11920.0,,11600.0,,11400.0
113,1pJRx3MyrHLrV5zZPz2BFRrB85j,2C4RDGBG6HR679952,45489.0,DDC,consumer,1,,,12850.0,17175.0,,,,
114,1plZnWM0jvO2bXj77M4n1HkhrFB,,137691.0,DDC,consumer,1,,,20115.0,24070.0,,,,
115,1pmA4AbLTq7sJ8u3jtrGUOn1FOq,WBA8E3C54GK504950,42371.0,DDC,consumer,1,22250.0,32495.0,14475.0,20010.0,,22000.0,0.0,22250.0
116,1pMCTKP1Z6h0jrcUImriNKehlgV,2HNYD2H83DH003578,136519.0,DDC,consumer,6,18200.0,22000.0,14660.0,18015.0,,,,18200.0
117,1pMDRgLR4iQRk6TwGdmCrptaXIO,KNAGM4AD8D5040473,97133.0,DDC,consumer,1,9595.0,15000.0,5890.0,9155.0,,,,9595.0
118,1pMtiNYobtBt8uVfAeQ1eO1MqjY,2HGFC2F73KH021460,40089.0,DDC,consumer,1,17765.0,20500.0,15650.0,19290.0,,,,17765.0
119,1pogh2rX6glOnIMozuV0ZsW9Tkv,2FMPK4K98GBC46598,71992.0,DDC,consumer,1,20900.0,24900.0,9260.0,14000.0,,,,20900.0
120,1pOjoiWp2KNrQw6c6ACDfWjgTKA,,75000.0,DDC,consumer,1,,,2400.0,3825.0,,,,
121,1pp05b3xqMXmjzLELLxfzro7tTS,JM1DKDB79K0401711,10000.0,DDC,consumer,1,,,13605.0,18445.0,,,,
122,1pqbA0b4OGBvD6qw9X7MV1nuKwW,1HGCV2F97JA801781,43674.0,DDC,consumer,1,22610.0,26500.0,14895.0,19750.0,,,,22610.0
123,1pqbc6aHMU2jdvK3lV1WB4cpqAb,5XYPGDA1XGG049722,104156.0,DDC,consumer,1,13680.0,16700.0,10250.0,13644.0,,,,13680.0
124,1pqdzMMNsGJi0ZMvjZvDoBu3j30,,133999.0,DDC,consumer,1,,,5175.0,,,,,
125,1proDkqKRAoXnoKdCDMVi4C3lGk,JF1VA1L65G9826508,68773.0,DDC,consumer,1,22450.0,27000.0,16450.0,19870.0,,,,22450.0
126,1ptaSEmckLdtTathrBZkTbjHsbg,3FA6P0D9XGR347768,101509.0,DDC,consumer,1,10925.0,13999.0,7985.0,,,,,10925.0
127,1ptKv4ej2xqXK2lQViUf7eSGjwi,1FMCU9G97HUD98253,61368.0,DDC,consumer,1,16388.0,21000.0,12095.0,16775.0,,,,16388.0
128,1ptqbCYfeB7HYxIJA5abQo3ecBR,2HGFC2F81HH012127,92584.0,DDC,consumer,1,14060.0,17200.0,11290.0,,,,,14060.0
129,1pUC1Ed7uakUZ3vLytcP6MgT9H3,,32000.0,DDC,consumer,1,,,9685.0,12910.0,,,,
130,1pUiJUqlNGMid9Tk55Lv7gpxWUa,2HGFC2F72LH018048,687.0,DDC,consumer,1,22582.0,24584.0,20909.0,22763.0,,,,22582.0
131,1pUjJJfuXgGnXhXPWTL5OLs9SqE,2C4RDGBG0FR606072,59475.0,DDC,consumer,1,10735.0,13900.0,8930.0,12795.0,,,,10735.0
132,1puT5Z7035xbSXXC4Xq4htJ5jpN,2T2BK1BA6FC303437,99113.0,DDC,consumer,1,23200.0,28500.0,16355.0,22215.0,,,,23200.0
133,1puXhV8ZkW8CQQWgnoxRwrwHOvM,,50000.0,DDC,consumer,1,,,10770.0,13425.0,,,,
134,1pVQmVoJg2qbZCybQbltWIHKi26,1VWCS7A36FC096410,104211.0,DDC,consumer,1,,,7125.0,8970.0,,,,
135,1pVR15kLyTDQ8YPjC0ycROlEryA,KMHE34L36JA085122,54932.0,DDC,consumer,1,10679.0,22204.0,9888.0,20559.0,,10679.0,,10679.0
136,1pVRZU8xsvgSWNfidWwMjDw7faS,,105000.0,DDC,consumer,1,,,6175.0,,,,,
137,1pwDal0iyjAK7VTl9ulq9VTmp0r,,57367.0,DDC,consumer,1,,,11290.0,14535.0,,,,
138,1pwGX74Oi43EGO3obcHiOqGRM0W,5N1AZ2MH6HN128730,31951.0,DDC,consumer,1,18193.0,22975.0,11715.0,17675.0,,,,18193.0
139,1pwHAzd6ssu2SQdfDNwnJiS5wxd,WDDHF8JB7EA970547,81422.0,DDC,consumer,1,19950.0,25600.0,11430.0,16680.0,,,,19950.0
140,1pWsj5WCkr8Jh5wx3mtIKLIfJka,,143000.0,DDC,consumer,1,,,13745.0,,,,,
141,1pXbp08e6dllkXTX6JWCAs9JDt2,Hsgsueiwwj,60000.0,DDC,consumer,1,,,16965.0,23125.0,,,,
142,1pXFcglFRocn126Ritp1b3qiVIL,Jm3kfbdyxk0615121,23000.0,DDC,consumer,1,,,21805.0,28560.0,,,,
143,1pXQuZYNcGNc0Xb2xFASUVYT4ri,,143000.0,DDC,consumer,1,,,13745.0,,,,,
144,1pXT0eLcMUhSEkmADmG8aSBezFP,,52248.0,DDC,consumer,1,,,19690.0,23641.0,,,,
145,1pY0Rhd9XjiVMtv2h2Tgjw0aV86,,14700.0,DDC,consumer,1,,,19125.0,25430.0,,,,
146,1pY8rLszhjeLCRqyIgnzbd8avoe,,102000.0,DDC,consumer,1,,,6790.0,11650.0,,,,
147,1pY8RQhKN8owjvhpOEsjxf65S7U,,86000.0,DDC,consumer,1,,,8125.0,12905.0,,,,
148,1pyz29OxCnUpnvqPbKSALxoLEXX,,80000.0,DDC,consumer,1,,,13935.0,22070.0,,,,
149,1pzmOuWnzwMgr2tt479jEbcYILt,KM8J3CA46JU803948,17181.0,DDC,consumer,1,20045.0,24500.0,10865.0,16175.0,,,,20045.0
150,1pzpuzpxQ8pYoQNCqCUhd1SKyZk,5N1AZ2MH1HN133026,76938.0,DDC,consumer,1,19855.0,23000.0,11715.0,17275.0,,,,19855.0
151,1pzREQiJPrbg5DNx2z2xD0kteiA,WDDSJ4EB9EN140197,33186.0,DDC,consumer,1,15925.0,17344.0,14745.0,16059.0,,,,15925.0
152,1pzs5Om2CkaXHq2fy3GyBmNlDcz,,63000.0,DDC,consumer,1,,,7360.0,12110.0,,,,
153,1pZthJm4umn6C1KfR8jQB3JbEdT,3vwg57bu3mm030375,51234.0,DDC,consumer,1,,,18045.0,21870.0,,,,
154,1pzxnwAWzrz0nLBpzurvp7wsx7u,3VW217AU0GM029812,84532.0,DDC,consumer,1,11543.0,14800.0,8785.0,11620.0,,,,11543.0
155,1q05qtalejnkZlR7aJJXAQb2dT7,JTDBBRBE9LJ005390,18795.0,DDC,consumer,1,19058.0,26000.0,13465.0,16790.0,,19950.0,26000.0,19058.0
156,1q07kc20M17KV6QJ2s4qCEBy1vi,3VWTT7AU2FM054868,63246.0,DDC,consumer,3,16008.0,19000.0,7410.0,10275.0,,,,16008.0
157,1q2a5kWDMymNZ9pANjOyaKSqcUI,19VWB3F79ga801808,12313.0,DDC,consumer,1,,,12140.0,15830.0,,,,
158,1q2b5BTOr16gikawYqVTsoQY8zZ,5N1AZ2MH6HN128730,31951.0,DDC,consumer,1,,,15130.0,21285.0,,,,
159,1q2iHDTxDKP034fZ5CuMM0kRHpE,5FNRL5H49HB502196,71033.0,DDC,consumer,1,22668.0,26500.0,17105.0,22775.0,,,,22668.0
160,1q2ZVuzvGXjjebAYOuVKl5P9tAT,5UXWX9C51D0D07511,78275.0,DDC,consumer,1,12605.0,13738.0,11671.0,12720.0,,,,12605.0
161,1q7sjEmwD4I9caIknIEjpZTMM27,3N1CE2CP7GL372731,57682.0,DDC,consumer,1,7743.0,9200.0,7360.0,10250.0,,,,7743.0
162,1q7WiXKWp7PdzOxxAUQlnAWqf35,3VWEB7BU1LM018787,16326.0,DDC,consumer,1,22705.0,27500.0,16305.0,20315.0,,,,22705.0
163,1q8R6Tp75IsLCXSFo8x6KpNJHJF,JTHCE1D24E5003279,102362.0,DDC,consumer,1,21800.0,26750.0,12615.0,17240.0,,21500.0,22000.0,21800.0
164,1qAfEB2NXKupbdszIcxf7XNkolW,1HGCR3F88EA800095,91541.0,DDC,consumer,1,14308.0,17000.0,9685.0,13570.0,,14108.0,0.0,14308.0
165,1qAJMenphsyWibAj7BeGpTzN5oH,3FA6P0HR8DR353719,101697.0,DDC,consumer,1,6375.0,10500.0,4655.0,7200.0,,6375.0,10500.0,6375.0
166,1qAKB81v0jWxMHj67hfqexWpuyY,1FA6P8TH6G5313658,44526.0,DDC,consumer,1,20615.0,23000.0,14710.0,19320.0,,,,20615.0
167,1qANcILIoTDa0cIXoPE36q2fXTA,JTHBA1D27H5054187,51835.0,DDC,consumer,1,24320.0,28900.0,20255.0,25800.0,,,,24320.0
168,1qANHmK3j11FxgXLiB5s4yo3peM,1C4RDJDG3FC222810,142057.0,DDC,consumer,1,20700.0,36000.0,21570.0,,,,,20700.0
169,1qaNWB3NjLGQUxajbP0NWLVyFT8,1C3CCCBG7FN713560,48017.0,DDC,consumer,1,,,7650.0,11265.0,,,,
170,1qb0FtauFii9GZzRTM0kLCNLQHa,,132000.0,DDC,consumer,1,,,0.0,8220.0,,,,
171,1qBfrnFdz4ZJeeKCPQj4C9FDx8a,JN1AV7AR8EM702839,89169.0,DDC,consumer,1,15818.0,21000.0,9540.0,13990.0,,,,15818.0
172,1qBg0PwS9wXNzpIlhdE60ofx5bB,KMHC65LD0LU226281,7858.0,DDC,consumer,1,24938.0,30000.0,13370.0,16700.0,,,,24938.0
173,1qcycJebNQbVNnmGrvAszr2zhsC,5N1AT2MT2LC819845,71691.0,DDC,consumer,1,,,7745.0,12200.0,,,,
174,1qcygVGvMnl9NMJiIlckDisJYVW,5N1AT2MV9FC780659,71490.0,DDC,consumer,1,18451.0,25000.0,12615.0,17090.0,,,,18451.0
175,1qczP7V9Z7XVAJ8v6FSjYXy6kIL,4S4BSCNC0G3308460,47178.0,DDC,consumer,1,22450.0,25000.0,10630.0,14105.0,,,,22450.0
176,1qd0oKXUo3qNg9Gs9ZyPcMFQG6a,5TDDY5G15FS124311,141973.0,DDC,consumer,1,34960.0,38900.0,26975.0,,,,,34960.0
